Document_No,Judul,Published Date,Full Article,Likes,Comment,Total Shares,Sentiment,Dominant_Topic,Contribution,Keyword
75,"Legendary Brand Festival 2023 Digelar, Jadi Wadah Kolaborasi dan Inovasi UMKM Agar Terus Tumbuh",2023-02-26,Acara yang dibuka oleh Menteri Perdagangan Zulkifli Hasan ini tidak hanya sebagai wadah kolaborasi namun juga menjadi wadah pengembangan inovasi berjejaring hingga perluasan Suaracom Kolaborasi dan inovasi adalah kunci untuk Usaha Mikro Kecil Menengah UMKM terus berkembang Dengan hal tersebut para pelaku UMKM juga mendpaatkan produk yang unggul dan kompepetif sehingga dapat bertahan dengan bisnis yang berkelanjutan Tentu tak hanya keuntungan dan bermanfaat bagi banyak orang tumbuhnya UMKM juga dapat meningkatkan perekonomian nasional Di mana kontribusi UMKM terhadap PDB kini mencapai Melihat hal ini Legendary Brand Festival pada Februari digelar di Pondok Indah Mall Ini merupakan acara yang digelar Shipper bersama •ko•lab Kementerian Koordinator Perekonomian dan Localfest dengan memfasilitasi kolaborasi lebih dari pelaku usaha legendaris Indonesia dengan lebih dari pelaku UMKM Acara yang dibuka oleh Menteri Perdagangan Zulkifli Hasan ini tidak hanya sebagai wadah kolaborasi namun juga menjadi wadah pengembangan inovasi berjejaring hingga perluasan pemasaran produk para pelaku usaha Baca Juga Komitmen Hadirkan Inovasi Berkesinambungan Kali Ini TCL Usung Resolusi  HDR Menteri Perdagangan Zulkifli Hasan saat pembukaan acara menjelaskan kunci peningkatan daya saing UMKM adalah kolaborasi Kemendag berkomitmen meningkatkan daya saing UMKM melalui empat pilar yaitu pengembangan UMKM sinergi UMKM dengan marketplace akses pembiayaan bersama LPEI dan akses pasokan produk UMKM ke ritel modern Shipper Legendary Brand Festival Dok Istimewa Legendary Brand Festival sejalan dengan misi Kementerian Perdagangan yang membangun ekosistem untuk mempertemukan para pelaku UMKM dengan retail modern hingga perusahaan grosir besar melalui ekosistem •ko•lab pungkasnya Sementara itu CoFounder COO Shipper Budi Handoko mengatakan ada berbagai tantangan perekonomian yang akan dihadapi para pelaku usaha tahun ini yang membuat mereka harus memperhatikan perubahan tren konsumen digitalisasi dan inovasi produk dan layanan untuk tetap bersaing dan berkembang Legendary Brand Festival diselenggarakan secara hybrid dengan rangkaian acara forum bisnis konferensi dan pameran Beberapa merek legendaris yang turut meramaikan acara ini adalah Buccheri Khong Guan Wardah Mustika Ratu Olympic Furniture Somethinc dan merek terkenal lainnya di sektor fashion kecantikan dan makanan dan minuman Kolaborasi antar merek besar dengan merek lokal ini juga didukung oleh Localfest festival urban kreatif yang menampilkan potensipotensi lokal di bidang fashion kuliner musik dan seni yang diselenggarakan tiap tahun oleh Urban Sneaker Society USS Networks Baca Juga Bikin Indonesia Bangga Inovasi Biodiesel dari Minyak Jelantah Antar Mahasiswa Teknik Undip Raih Medali Perak di IPITEx,,,0,Positif,3.0,0.9965,", indonesia, puasa, umkm, usaha, sampah, milik, bisnis, kembang, kolaborasi"
76,"Jerome Polin Bikin Konten Nirempati Tentang Kematian Pasien Pakai Jas Dokter, Dekan FKUI Kritik Keras",2023-02-26,Dalam unggahan yang telah dihapus Farhan Ekida dan Jerome Polin tampak membuat konten berjoget bersama Suaracom Konten Kreator sekaligus Mahasiswa Pendidikan Kedokteran Universitas Indonesia Ugiadam Farhan Firmansyah Ekida Rehan Firmansyah dan Youtuber Jerome Polim menuai banyak kecaman dari warganet Hal ini karena konten yang dibuat mereka barubaru ini Dalam unggahan yang telah dihapus Farhan Ekida dan Jerome Polin tampak membuat konten berjoget bersama Namun dalam video tersebut menggunakan katakata yang sering dokter gunakan sebagai pernyataan pasien meninggal dunia yakni “Mohon maaf kami sudah berusaha semaksimal mungkin” Konten tersebut lantas menuai banyak kontroversi Ketiganya dinilai tidak memiliki empati kepada banyak keluarga yang sedih dengan ucapan tersebut Akun Twitter rizkahasanah membuat cuitan kalau katakata tersebut adalah sensitif Ia mengaku baru melihat keluarga yang sangat sedih dengan katakata tersebut Oleh sebab itu menurutnya konten tersebut kurang pantas apalagi dibuat mahasiswa kedokteran UI Baca Juga Tim Dokter Ungkap Kondisi David Sudah Lewati Fase Koma hingga Tak pakai Alat Bantu Pernafasan “Ngeliat kemaren pasien meninggal di dpn mataku dan bilang ke keluarganya kalo harus dilepas monitor  mask nya and my supervisor literally said those words… and seeing this insensitive influencer making fun of it Wow no wonder everyone hates you” tulis akun tersebut dalam cuitannya Minggu Menanggapi ramainya komentar akan video tersebut Dekan Fakultas Kedokteran Universitas Indonesia FKUI prof dr Ari Fahrial Syam SpPDKGEH mengatakan penggunaan katakata tersebut pada dasarnya memang dipakai ketika dokter telah mengobati pasien tetapi gagal dan meninggal dunia Namun dalam video yang dibuat menurut prof Ari konteksnya bisa saja berbeda dan hanya untuk candaan Akan tetapi hal yang salah yaitu kalimat tersebut bisa di multiinterpretasikan banyak orang Oleh sebab itu menggunakannya sebagai bahan candaan juga cukup riskan “Prinsipnya begini kata kata itu sering digunakan dalam media ketika dokter udah obati tapi gagal misal meninggal Dalam topik ini kan cerita tentang enggak berhubungan Namanya multiinterpretasi ketika mahasiswa kedokteran menggunakannya maka harus hati hati membuat konten Meskipun niatnya hanya candaan tapi karena kata itu multiinterpretasi jadi sebenarnya tidak boleh ditertawakan” jelas prof Ari saat dihubungi Suaracom Menurut prof Ari baik dokter maupun masih calon sangat perlu berhatihati dalam membuat konten Pasalnya dalam berbagai konten sensitif hal yang sebenarnya tidak dimaksud bisa saja lain di mata orang lain Baca Juga Dokter Boyke Ungkap Senam Kegel Efektif Kencangkan Miss  setelah Melahirkan Simpel Nggak Butuh Baju Dinas Khusus “Secara umum siapapun dokter maupun calon dokter harus hatihati dalam membuat konten Sebenarnya video tadi kayak enggak maksud tapi kata kata itu sering digunakan gitu pada pake pasien” jelas prof Ari Tidak hanya itu menurut prof Ari mengapa dalam penggunaan katakata tersebut bisa salah karena ini kembali bergantung pada orang yang melihatnya Hal ini karena ada orang yang mungkin memiliki pengalaman buruk atau sedih dengan katakata tersebut “Sebenarnya tujuannya enggak kesitu tapi kan ada orang yang tidak tepat gitu Tapi tergantung orang melihatnya Itu bisa remind sesuatu yg tidak mengenakan” ujarnya Oleh karena itu prof Ari berpesan dalam menggunakan media sosial seorang konten kreator harus melihat dampaknya Apalagi publik bisa saja memandangnya sebagai hal lain “Apapun yang kita unggah di media sosial tapi ketika sudah di publik ini jadi ribut gitu” pungkas prof Air,1.0,0.0,5,Negatif,2.0,0.9971,"orang, indonesia, konten, dokter, , halal, ratu, salah, tactical, pasang"
77,"Bangkitkan Kunjungan Turis Usai Pandemi, Potensi Wisata Halal Terus Digali",2023-02-26,Jakarta Beritasatucom Pelonggaran aktivitas bepergian pasca pandemi Covid membuat sektor pariwisata kembali bergairah Hal itu yang juga kini terus digali dan dioptimalkan para agen tour and travel dalam membangkitkan gairah wisata halal di berbagai wilayah baik di dalam maupun luar negeri Salah satunya dilakukan oleh agen wisata Cheria Holiday ini Mereka terus berupaya untuk mempromosikan potensi wisata halal di dalam maupun luar negeri Advertisement BACA JUGA Cheria Holiday Siap Bawa Pelancong Nikmati Wisata Halal Dunia Dengan semakin mudahnya orang melakukan aktivitas wisata maka kami juga bergairah untuk mempromosikan wisata halal dengan menggandeng mitra dan agen tour and travel di seluruh Indonesia ungkap CEO Cheria Holiday Cheriatna saat dijumpai di Twin Building Jakarta Minggu Ditambahkan Cheriatna potensi halal ini wajib dipromosikan secara besarbesaran lantaran mereka terus berupaya mengenalkan lokasi wisata yang baik dan menarik di Indonesia Selama ini kan orang tahunya kalau wisata halal itu ujungnya paket umrah atau tujuannya ke negara Timur Tengah untuk beribadah Dengan pengenalan potensi wisata halal ini kita juga ingin membuka ekosistem baru wilayah lain yang cocok dikunjungi wisatawan muslim terangnya Cheriatna yang juga Ketua Asosiasi Travel Halal Indonesia ATHIN juga terus mencoba menggandeng perusahaan transportasi penerbangan seperti Garuda Indonesia dan dunia Perbankan Syariah untuk mengakomodasi keinginan masyarakat muslim BACA JUGA Sandiaga Uno Dorong Pulau Penyengat Jadi Ikon Wisata Halal Lewat kerjasama dengan dunia penerbangan dan perbankan kita berharap akan mampu menggaransi keinginan orang untuk berwisata Jangan sampai nanti ada agen perjalanan bodong merugikan seperti kemarin yang malah mencederai pihak yang benar Selain itu dengan kerjasama ini kita juga bisa menekan biaya paket wisata masyarakat karena mednapatkan tiket murah dan bisa memilih metode pembayarannya tandasnya Saksikan live streaming programprogram BTV di sini,,,0,Positif,8.0,0.995,"wisata, pantai, orang, kota, milik, , tarik, kabupaten, dompu, rumah"
78,"Bikin Mengkilap dan Wangi, Begini Cara Mengepel Lantai Rumah yang Bisa Diterapkan dengan Mudah",2023-02-26,Fimelacom Jakarta Sebuah rumah sebisa mungkin harus dibersihkan agar nggak menjadi kotor dan berdebu Salah satu langkah sederhana untuk mewujudkan rumah yang bersih adalah dengan rajin mengepel lantai Jika jarang dibersihkan kemungkinan tempat tersebut akan menjadi sarang kuman dan bakteri penyebab penyakit Untuk mengepel lantai sendiri bisa dilakukan dengan cara yang sederhana Meski begitu area rumah tersebut terkadang bisa tetap dekil dan berbau nggak enak bahkan setelah dibersihkan berkalikali Lantas bagaimana caranya agar lantai bisa tetap mengkilap dan wangi Gunakan Alat Pel yang Tepat  Shutterstock Penggunaan alat pel ternyata jadi salah satu faktor kebersihan pada lantai Lantai pada dasarnya memiliki beberapa jenis yang berbeda Di antaranya adalah lantai kayu keramik marmer granit dan sebagainya Di Indonesia sendiri lantai yang paling banyak digunakan adalah keramik yang cenderung lebih mudah dibersihkan dibanding tipe lantai lainnya Namun jika rumahmu memakai lantai yang bukan keramik maka sebaiknya memilih alat pembersih dengan lebih tepat Sebagai contoh kamu bisa memilih pel dengan tekstur yang halus saat membersihkan lantai marmer Sebab lantai seperti ini dinilai mudah rusak dan butuh produk pembersih khusus untuk membersihkannya Jaga Selalu Kebersihan Pel  Shutterstock Jika kamu membersihkan lantai menggunakan alat pel yang kotor tentu hal tersebut akan berdampak buruk pada kebersihannya Bukannya jadi bersih lantai rumah mu justru akan kotor dan memiliki bau yang nggak sedap Oleh karenanya perlu untuk menjaga kebersihan pel yang kamu gunakan Ketika sudah memakainya usahakan untuk segera membersihkannya kembali dan jemur agar kering Setelah itu perhatikan pula posisi saat meletakan alat pel yang sudah dibersihkan Pengepel yang sudah dicuci sebaiknya diletakkan menghadap ke atas agar bisa lebih cepat kering Jika menaruhnya dalam posisi yang salah maka bisa saja alat pembersih tersebut bisa bau dan kotor Pel Lantai Menggunakan Air Bersih  Shutterstock Saat mengepel lantai sebisa mungkin untuk selalu menggunakan air yang bersih Jangan memakai air yang keruh butek dan bau karena itu hanya akan memperparah kondisi lantai yang kotor Jadi segera ganti air dengan yang baru ketika air lama yang dipakai saat mengepel sudah berubah warnanya dan nggak bersih lagi Kamu pun bisa memanfaatkan air hangat agar kotoran yang melekat di permukaan lantai bisa dibersihkan dengan lebih mudah Gunakan Sabun Pel Lantai yang Bermutu  Shutterstock,177.0,0.0,187,Positif,4.0,0.9957,"bersih, makan, lantai, sahur, sup, sayur, mudah, anak, anda, skincare"
79,"Potret Panglima TNi Pakai Combat Shirt Jadi Sorotan, Gagah Sekaligus Fashionable",2023-02-26,Peluang bisnis produk tactical cukup baik di Indonesia karena banyak masyarakat yang suka dengan gaya tactical Suaracom Potret gagah Panglima TNI Laksamana TNI Yudo Margono KSAD Jenderal TNI Dudung Abdurachman KSAL Laksamana TNI Muhammad Ali dan KSAU Marsekal TNI Fadjar Prasetyo yang menggunakan combat Shirt jadi sorotan Mereka tampak gagah mengenakan tactical fashion itu Belakangan diketahui bahwa Combat Shirt yang digunakan oleh para petinggi TNI itu merupakan produk dari Cartenz Tactical Dalam keterangannya CEO Cartenz tactical Billy Andrias Budijanto mengaku bangga bahwa combat shirt itu telah digunakan oleh prajurit di Indonesia “Ketika pertama kali berdiri pada tahun kami hadir untuk memenuhi kebutuhan barangbarang tactical Seiring perjalanan waktu Cartenz Tactical memasang target untuk menjadi brand tactical nomor di Indonesia Karena itu kami mengucapkan terima kasih kepada Panglima TNI KSAD KSAL dan KSAU yang sudah menggunakan produk kami” kata Billy dalam keterangan tertulisnya barubaru ini Potret TNI dengan combat shirt Dok Istimewa Billy menambahkan kehadiran busana tactical itu diharapkan dapat mendukung para prajurit dalam bertugas menggunakan perlengkapan yang berkualitas Bily menjelaskan bahwa mereka memproduksi barangbarang tactical di Indonesia disesuaikan dengan kebutuhan para prajurit dan Cartenz squad agar memudahkan kegiatan Baca Juga Awal Mula Serka  Injak Seorang Pria di Depok Korban Tabrak Mobil Pelaku Target market Cartenz Tactical adalah para prajurit dan masyarakat yang aktif berkegiatan di luar ruangan Billy melanjutkan peluang bisnis produk tactical cukup baik di Indonesia karena banyak masyarakat yang suka dengan gaya tactical Karena itu Cartenz Tactical ingin menjadi Brand lokal tactical nomor satu di Indonesia dan dikenal oleh dunia militer internasional Apalagi untuk material yang digunakan Cartenz Tactical untuk setiap produknya adalah material premium terbaik sehingga kuat dan tahan lama untuk aktivitas berat sekalipun,,,0,Neutral,2.0,0.9951,"orang, indonesia, konten, dokter, , halal, ratu, salah, tactical, pasang"
80,"Ini 5 Destinasi Wisata Super Prioritas, Kenapa Bali Tidak Termasuk?",2023-02-26,SEMARANGKU Indonesia memiliki beragam destinasi wisata dengan keindahan alam dan budaya yang sangat menarik Oleh karena itu pemerintah telah membuat program pengembangan wisata Lima Destinasi Super Prioritas DSP yang diyakini mampu mendongkrak industri pariwisata Indonesia di masa yang akan datang Lima DSP yang merupakan Kawasan Strategis Pariwisata Nasional KSPN ini tersebar di lima provinsi di bagian barat tengah hingga timur Indonesia Baca Juga Pilihan Tepat Samsung  Miliki Harga Hemat Kantong Begini Spesifikasi Unggulannya Lima Destinasi Super Prioritas tersebut adalah Danau Toba di Sumatera Utara Borobudur di Jawa Tengah Mandalika di Nusa Tenggara Barat Labuan Bajo di Nusa Tenggara Timur Likupang di Sulawesi Utara Kelima destinasi ini memiliki potensi keunikan dan daya tarik wisata yang besar namun masih perlu banyak sentuhan untuk dikembangkan Kunjungan wisatawan mancanegara selama ini masih berpusat di Pulau Bali Data di Rencana Pembangunan Jangka Menengah Nasional RPJMN menyebutkan bahwa persen pariwisata Indonesia masih bertumpu di Bali,,,0,Positif,4.0,0.9911,"bersih, makan, lantai, sahur, sup, sayur, mudah, anak, anda, skincare"
81,"Resep Mie Nyemek Seafood Enak, Gampang Banget Cocok untuk Menu Buka Puasa",2023-02-26,Buat sendiri mie nyemek seafood favoritmu di rumah Berikut resep mie nyemek ala Chef Devina Hermawan berikut Suaracom Mie nyemek sejatinya merupakan mie goreng yang diolah dengan membuatnya tetap memiliki tekstur basah Tekstur itulah yang membuatnya disebut nyemek Beberapa orang mungkin akan melihatnya seperti bakmi Jawa atau bakmi goreng ala Chinese resto Mie nyemek bisa dinikmati dalam berbagai kesempatan salah satunya saat berbuka puasa di bulan Ramadhan Tertarik untuk mencoba membuat mie nyemek seafood sendiri Ikuti resep berikut Resep Mie Nyemek Seafood Seperti yang disebutkan sebelumnya mie nyemek akan memiliki tampilan yang tidak jauh beda dari bakmi goreng ala Chinese Resto Oleh karena itu Anda bisa mengikuti resep dari Chef Devina Hermawan berikut Baca Juga Resep Kue Cubit Cocok Jadi Ide Bisnis selama Bulan Suci Ramadhan Bahan gr mie basah gr tauge ikat kucai atau daun bawang buah bengkuang iris buah bakso sapi iris gr ayam fillet iris ekor udang kupas butir telur Bumbu siung bawang putih parut siung bawang merah iris sdm kecap asin sdm kecap manis sdm kecap ikan sdm saus tiram sdt kecap inggris opsional sdm arak masak opsional sdm minyak wijen opsional sdt merica sdm gula sdt penyedapkaldu bubuk Cara Membuat Mie Goreng Nyemek Seafood Pertama rebus mie sampai matang lalu bilas dengan air mengalir Tambahkan sedikit minyak aduk rata sisihkan Selanjutnya panaskan minyak tumis ayam sampai setengah matang lalu tambahkan udang dan arak Masak sebentar dan sisihkan Berikutnya pada wajan yang sama panaskan minyak lalu masukkan telur sambil diaduk Tambahkan bawang putih dan bawang merah tumis sampai wangi Setelah itu masukkan ayam udang bakso dan bengkuang Tambahkan kecap asin kecap manis kecap ikan saus tiram dan kecap inggris Aduk rata Berikutnya masukkan mie yang sudah dibumbui dengan merica gula dan penyedap Masak dengan api besar sampai tercampur rata Tambahkan tauge kucai dan minyak wijen Aduk rata lalu matikan api jika semua bahan sudah matang Mie nyemek seafood siap disajikan Selain udang Anda bisa menyiapkan isian lainnya yang disesuaikan dengan selera Inilah alasan mengapa membuat mie goreng seafood sendiri terkadang terasa lebih enak dan istimewa Jika Anda memiliki alergi terhadap beberapa jenis seafood Anda sebaiknya tidak menggunakannya dan memilih beberapa jenis dagingdagingan sebagai pengganti Selamat mencoba resep mie nyemek seafood di atas Baca Juga Dijamin Enak Resep Otakotak Tanpa Ikan Cocok Buat Buka Puasa di Bulan Suci Ramadhan Kontributor Hillary Sekar Pawestri,,,0,Positif,9.0,0.9969,"sepatu, warna, jenis, orang, gagal, beda, pesta, infp, tampil, mie"
82,"Tabrak Gaya Olla Ramlan, Padukan Hoodie dengan Heels Feminin | Dream.co.id",2023-02-26,Ia rupanya saat ini sedang suka olahraga dance dan outfitnya tetap on point Dream Selain jago berakting di sinetron Olla Ramlan juga jago ngedance loh Sahabat Dream Beberapa waktu lalu ia membagikan videonya kala asyik menari Aktivitas ini memang sedang tren sebagai varian olahraga untuk menjaga bentuk tubuh Ollah tampaknya saat ini sedang rutin olahraga dengan dance Penasaran tampilan presenter stylish ini saat dance Dari video yang dibagikan Olla tampak menggunakan inner putih yang dipadukan dengan hoodie sleeveless berwarna light grey © Instagram ollaramlan Hoodie dinaikan ke atas kepala dengan sentuhan topi putih di bagian dalamnya Perpaduan topi putih dan kupluk abuabu ini membuat Olla tampak boyish dan fashionable bak rapper © Instagram ollaramlan Olla memadukan atasan hoodie sleevelessnya itu dengan trousser berwarna putih Perempuan kelahiran Februari itu memberi sentuhan feminin dengan heels hitam yang dipakainya,1.0,0.0,11,Positif,9.0,0.9902,"sepatu, warna, jenis, orang, gagal, beda, pesta, infp, tampil, mie"
83,"UPDATE! 26 Prodi Baru D3 dan S1 UNS Lengkap Daya Tampung SNBP 2023, Ada Kebidanan, Farmasi, Bahasa Mandarin",2023-02-26,INDOTRENDSID Inilah prodi atau Program Studi  dan  baru di Universitas Negeri Sebelas Maret atau UNS lengkap dengan daya tampungnya tahun ini Mengutip snpmbbpppkemdikbudgoid berikut daftar prodi baru di UNS lengkap daya tampung pada SNBP Prodi baru di UNS jenjang  dan  Teknologi Pendidikan  Daya Tampung Bahasa Mandarin dan Kebudayaan Tiongkok  Daya Tampung Bisnis Digital  Daya Tampung,,,0,Neutral,2.0,0.9775,"orang, indonesia, konten, dokter, , halal, ratu, salah, tactical, pasang"
84,"Korban Mario Dandy Mengalami Diffuse Axonal Injury, Apa Itu?",2023-02-26,Jakarta CNBC Indonesia Kasus penganiayaan yang diduga dilakukan Mario Dandy Satriyo terhadap anak pengurus GP Ansor  masih berlanjut hingga saat ini Akibat aksi tersebut Mario Dandy ditetapkan sebagai tersangka Sementara itu  selaku korban saat ini masih dirawat di rumah sakit dan disebut mengalami diffuse axonal injury Apa itu Diffuse axonal injury DAI atau cedera aksonal difus merupakan jenis cedera otak traumatis TBI Istilah ini menggambarkan cedera yang biasanya diakibatkan oleh trauma tumpul di kepala dan memengaruhi fungsi otak Penelitian menunjukkan terdapat lebih dari ribu kematian terkait TBI di Amerika Serikat AS pada ADVERTISEMENT SCROLL TO RESUME CONTENT Dilansir dari Medical News Today DAI mengacu pada robekan serabut saraf atau akson Cedera ini biasanya terjadi akibat pergeseran otak yang cepat di dalam tengkorak dan menyebabkan serabut saraf merenggang serta robek Akson adalah bagian neuron yang panjang seperti benang yang menghantarkan impuls listrik Serabut saraf ini bertanggung jawab untuk komunikasi antara selsel saraf Dengan demikian kerusakan akson dapat mengganggu kemampuan mereka untuk berkomunikasi dan membantu mengkoordinasikan fungsi tubuh yang dapat menyebabkan kecacatan yang parah DAI adalah penyebab paling umum dari koma kecacatan dan keadaan vegetatif persisten pada orang dengan TBI Secara klinis pakar kesehatan mendefinisikan DAI sebagai kehilangan kesadaran yang berlangsung selama jam atau lebih setelah cedera Selain itu DAI juga dapat menyebabkan perubahan perilaku sosial fisik dan kognitif pada seseorang yang mungkin bersifat sementara atau permanen Disebutkan DAI lebih sering terjadi pada kecelakaan traumatis yang berpotensi menyebabkan otak berputar atau bergerak maju atau mundur di dalam tengkorak Biasanya jenis trauma ini melibatkan gerakan percepatan dan perlambatan Jika trauma yang didapatkan cukup kuat ini dapat merusak akson menyebabkan interkoneksi saraf ini tidak berfungsi atau terputus dan memengaruhi banyak area otak Berikut penyebab DAI yang paling umum,4.0,1.0,24,Neutral,6.0,0.8362,"makan, nikita, anak, kerja, usia, , kaleng, rendah, tulis, milik"
85,"Ramalan ZODIAK Hari Ini, Senin 27 Februari 2023 Karir Taurus, Cancer, Aries, Gemini Ada Peluang Besar Berkarir di Luar Negeri",2023-02-26,Jakarta tvOnenewscom Ramalan zodiak hari Senin Februari mengutip dari laman Prokerala berikut ramalan zodiak karir untuk anda yang berzodiak Aries Taurus Gemini Cancer Ramalan Zodiak Karir untuk Aries Sepertinya hari ini penuh dengan perenungan untukmu Anda mungkin ingin pindah dari rumah anda saat ini atau bahkan dari pekerjaan anda saat ini Jangan lesu hal tersebut sangat layak dilakukan demi perubahan Anda mungkin menerima bantuan dari komunikasi yang tidak terduga dari seseorang yang diamdiam mendoakan anda Akhirakhir ini anda akan menemukan rekan kerja yang tidak kooperatif terhadap anda karena cemburu Tapi jangan mengatakan apa pun di depan mereka karena itu akan dimanipulasi dan dibalas ke senior anda dengan cara yang berbeda Lebih baik anda jaga jarak dengan orangorang ini untuk beberapa waktu Anda mungkin menerima kekayaan tak terduga hari iniﾠﾠ,,,0,Neutral,1.0,0.5438,"generasi, stroberi, billie, anda, tarik, muncul, mudah, tulis, istilah, dressedlikeparents"
86,"Jangan Capek-capek ya Capricorn, Ramalan Zodiak Hari Ini, Senin 27 Februari 2023 Pisces dan Aquarius",2023-02-27,tvOnenewscom Ada pesan penting untuk Capricorn dari segi kesehatan dalam ramalan zodiak hari ini Senin Februari Bagaimana dengan Pisces dan Aquarius ada kabar apa dari ramalan zodiak hari ini Dari segi kesehatan ayo simak ramalan zodiak untuk Capricorn Pisces dan Aquarius Seperti dilansir tvOnenewscom dari Prokerala berikut ramalan zodiak hari ini untuk Capricorn Aquarius dan Pisces dari segi kesehatan Ramalan zodiak Capricorn Jangan terlalu memaksakan diri ya Capricorn hari ini bisa sangat melelahkan untuk dilalui,,,0,Neutral,0.0,0.9804,"tubuh, zodiak, suhu, ramal, sehat, mario, bantu, david, dandy, anak"
87,5 Tips Bagi Anak Muda Agar Tetap Relevan Dengan Perkembangan Zaman: Berani Ambil Risiko,2023-02-26,Stephanie Regina percaya bahwasemua orang lahir ke dunia pasti dititipi sesuatu oleh Tuhan baik itu dalam bentuk skill yang perlu dibagikan kepada orang lain Tips Bagi Anak Muda Agar Tetap Relevan Dengan Perkembangan Zaman Berani Ambil Risiko Suaracom Perkembangan zaman dan gaya hidup yang serba cepat kerap menuntut anak muda untuk bisa terus beradaptasi dan berinovasi Sayangnya tidak semua invidiu punya kesiapan dan kesempatan yang sama untuk bisa terus mengikuti perkembangan zaman dan relevan Meski demikian dalam TEDxYouth bertema ”Empowering Inner Self Be Relevant Resonant and Radiant” yang diadakan oleh Sekolah Sinarmas World Academy SWA Founder CEO Haloka Group Stephanie Regina percaya bahwa semua orang lahir ke dunia pasti dititipi sesuatu oleh Tuhan baik itu dalam bentuk skill pengalaman maupun energi yang perlu dibagikan kepada orang lain sehingga memberikan dampak positif kepada orang lain Ilustrasi Anak Muda Pixabaysasint Berani mengambil keputusan penting demi mengejar impian adalah salah satu hal yang merubah hidupnya sehingga menjadi lebih bermakna kata Stephani dalam keterangannya barubaru ini Dalam kesempatan itu Stephanie membagikan hal penting yang menjadi pedoman hidupnya antara lain Baca Juga Anak Muda Indonesia Mulai Melek Investasi Properti Challenge your own thought Belajar mempertanyakan halhal yang kita pikirkan Kekhawatiran adalah sesuatu hal yang muncul namun yang terpenting adalah apa yang kita lakukan untuk mencapai keberhasilan Take calculated risk Jangan bertindak hanya berdasarkan emosi namun harus diperhitungkan resiko baik secara finansial Finding the right people Baca Juga Anak Muda Sekarang Dijuluki Strawberry Generations Ini Alasannya Perlunya menemukan orangorang yang memang mempunyai value dan kepercayaan yang sama Haloka dapat hadir disini karena the power of people Enjoy the process Apabila seseorang dapat menikmati kegagalannya maka dia akan dapat menikmati segalanya termasuk menikmati proses yang dijalani setiap hari karena itulah proses yang sebenarnya Make yourself your biggest asset seseorang perlu memiliki semangat atas diri sendiri visi dan misi tidak ragu berinvestasi terhadap diri sendiri serta memprioritaskan diri sendiri Sementara itu Mr Alexander coprincipal Sinarmas World Academy mengatakan bahwa TEDxYouth ini merupakan suatu kesempatan dan wadah bagi seluruh komunitas Sinarmas World Academy dalam mengembangkan kreativitas sesuai dengan jati diri masingmasing Berbagai pembicara profesional akan membagikan pengalaman hidup mereka yang dapat menginspirasi kita bagaimana memberdayakan diri dan memberikan perubahan bagi lingkungan sekitar kita” Acara TEDxYouth yang ke ini diharapkan dapat menginspirasi setiap individu untuk dapat memberdayakan diri mereka dengan lebih baik serta menjadikan diri mereka lebih relevan dengan perkembangan dunia modern melalui sharing yang dibawakxan oleh pembicara profesional dari berbagai latar belakang dan spesialisasi yang berbeda,,,0,Positif,5.0,0.5869,"es, sholat, baca, witir, resep, teler, juga, doger, sapi, anda"
88,"Foto Tanpa Makeup, Wajah Ibu Ayu Ting Ting Jadi Sorotan | Dream.co.id",2023-02-26,Umi Kalsum tak seperti biasa saat tampil mendampingi Ayu Ting Ting Kini dia tampil tanpa make up Dream Ibunda Ayu Ting Ting Umi Kalsum selama ini terlihat tampil bermake up dan berbusana glamor Namu tidak kali ini Istri Abdul Razak itu tampil tanpa mengenakan riasan di wajah Foto Umi kalsum yang apa adanya itu diunggah ke akun Instagramnya momayting kemarin Dalam foto itu Umi Kalsum terlihat berada di halaman rumah Wajahnya terlihat polos tanpa sapuan make up Spotspot flek hitam di wajahnya bahkan sampai terlihat jelas Mengenakan knitwear marun berpadu dengan hijab linen berwarna mustard membuat dandanan Umi Kalsum terlihat sangat sederhana Dalam foto itu terlihat juga beberapa orang yang diduga sebagai pegawai di rumahnya Pengawal setiaku tulis Umi Kalsum Pengawal setiaku ðŸ¤—ðŸ˜  post shared by Umi Kalsum momayting on May at pm PDT Melihat foto tersebut warganet memberikan reaksi mengejutkan Jika biasanya mereka menghujat dan mengeluarkan caci maki maka kali ini sebaliknya Banyak pujian untuk ibu dua anak itu Cantik bu tanpa make upsemoga sehat selalu yaaa tuis riyadhabdurahman Lebih cantik kalo natural momayting gk usah dandan menor tulis angelsyoung Ibu lebih seger kalau begini tanpa make up tulis shoendarie Mom lbh bagus natural gitu dr pada bermakeup sekdar saran aja sii tulis tangkaibunga,429.0,5.0,476,Positif,3.0,0.9937,", indonesia, puasa, umkm, usaha, sampah, milik, bisnis, kembang, kolaborasi"
