Document_No,Judul,Published Date,Full Article,Likes,Comment,Total Shares,Sentiment,Dominant_Topic,Contribution,Keyword
10,Anies Pakai Tagline Jakarta di Pemilu 2024: Sukses Jakarta untuk Indonesia | merdeka.com,2023-02-26,Merdekacom Bakal calon presiden Anies Baswedan membawa tagline Sukses Jakarta untuk Indonesia untuk Pilpres Slogan tersebut sama seperti milik Pemprov DKI Jakarta Kini saatnya kita melangkah ke jenjang berikutnya seperti tagline Pemprov DKI Jakarta yang baru beberapa bulan ini digunakan taglinenya berbunyi Sukses Jakarta untuk Indonesia Tagline ini yang kita bawa sekarang kata Anies saat pidato di acara Apel Siaga PKS di Gelora Bung Karno Jakarta Minggu Anies menambahkan bersama PKS di Jakarta ia bakal menghadirkan rasa tenang aman teduh damai dan tentram bagi semua Bersama PKS di Jakarta kita telah berhasil bismillah menghadirkan perubahan menghadirkan kemajuan menghadirkan keadilan bagi semua di Jakarta ucapnya,134.0,123.0,296,Neutral,6.0,0.7646,"pks, anies, baswedan, jakarta, presiden, partai, calon, menang, adil, milu"
11,"Ayahnya Divonis Mati dan Ibunya 20 Tahun, Trisha Anak Ferdy Sambo Curhat Merasa Kesepian - Tribun-medan.com",2023-02-26,TRIBUNMEDANcom Pasca Ferdy Sambo divonis Mati dan Ibu Putri Candrawathi divonis tahun sang putri sulung Trisha Eungelica ungkapkan perasaannya Diketahui Ferdy Sambo divonis hukuman mati sementara Putri Candrawathi divonis tahun penjara dalam kasus pembunuhan berencana terhadap eks ajudannya Nofriansyah Yosua Hutabarat atau Brigadir  Vonis hukuman mati nyatanya tak hanya berimbas pada Ferdy Sambo namun juga anakanaknya Diakui putri sulungnya Trisha Eungelica mengaku suasana rumah tampak sepi semenjak tak lagi ada kedua orang tuanya Trisha Eungelica putri sulung Ferdy Sambo dan Putri Candrawathi menyampaikan perasaannya pasca tak lagi tinggal serumah dengan orang tuanya Hal itu diungkap Trisha saat salah satu warganet bertanya di kolom tanya jawab Instagramnya terkait perasaannya di rumah setelah tanpa Ferdy Sambo dan Putri Candrawathi Sepi bcs they are the heart of this house ungkap Trisha Eungelica melalui akun instagramnya trishaeas pada Sabtu Selain itu Trisha juga mengaku lelah dan merasa sulit untuk bertemu dengan orang tuanya sendiri Mengingat Ferdy Sambo saat ini masih ditahan di Rutan Mako Brimob dan sang ibu di di Rutan Salemba Cabang Kejaksaan Agung RI Jakarta Tak pelak membuat Trisha sulit bertemu dengan orang tuanya di tempat yang berbeda Cape soalnya satu hari ke mama dihari lain ke papa kok keknya ketemu ortu sulit ya ungkap Trisha Eungelica Anak sulung Ferdy Sambo Trisha Eungelica Ardhyana kini terus jadi disorot usai sang ayah dan ibunya Putri Candrawathi menerima vonis hukum Trisha Eungelica justru menuai pro kontra karena bermain TikTok usai vonis yang dijatuhkan kepada Ferdy Sambo Tak hanya sekedar bermain TikTok Trisha Eungelica justru dianggap terlalu santai meskipun Ferdy Sambo divonis hukuman mati Trisha Eungelica bersama kedua orang tuanya Ferdy Sambo dan Putri Candrawathi Trisha menjawab pertanyaan netizen mengenai alasannya yang tak menampilkan wajah adik di sosmed TikTok Sebelumnya pasca Ferdy Sambo divonis hukuman mati publik pun turut menyoroti unggahan Trisha,39.0,6.0,53,Neutral,8.0,0.9957,"rini, orang, sus, trisha, mobil, afan, gus, celaka, baca, polisi"
12,"Gaya Ibu dan Anak Sama Saja, Hedonnya Gaya Istri Rafael Trisambodo, Ibu Mario Gemar Pamer Tas Mahal - Tribun-medan.com",2023-02-26,TRIBUNMEDANcom Gaya istri Rafael Alun Trisambodo turut disorot usai kasus anaknya Mario Dandy Gaya hedon istri Rafael Alun Trisambodo ini gemar memamerkan tas branded dengan harga yang sangat fantastis Selain itu istri Rafael Alun Trisambodo juga kerap memamerkan beberapa rumah mewahnya yang dilengkap dengan fasilitas kolam renang dan ruangan gym Dilansir artikel Tribun Trends Rafael Alun Trisambodo bersama istri dan anakanaknya tinggal di kawasan elit dan memiliki beberapa rumah Rumahrumah mewahnya itu disebutsebut berada di kawasan Jakarta Yogya hingga Manado Selain memiliki banyak rumah mewah Rafael Alun Trisambodo juga disebutkan memiliki banyak mobil mewah yang berderet rapi di garasi Ia juga bahkan memiliki sejumlah usaha seperti kedai kopi hingga restauran Restauran yang dimiliki mereka bahkan sudah diresmikan oleh sang istri sejak tahun dan dipublikasikan di sebuah surat kabar Istri Rafael Alun Trisambodo yang bernama Ernie itu juga sering memposting beberapa kegiatannya di Instagram Terlihat ia berpose di sebuah taman dengan menggunakan tas dan sepatu merek Christian Dior Kemudian ada juga tas dengan merek Christian Dior dengan ukuran dan warna yang berbeda Lalu tas Channel berbagai jenis dan warna bahkan beberapa tas dan sepatu mewahnya juga dipakaikan ke anjing peliharaan mereka Selain itu Ernie juga terlihat berpose di dalam mobil Rubicon hitam yang viral karena menunggak pajak tersebut Twitter Tas koleksi istri Rafael Alun Trisambodo yang viral di jagat maya Namun kini akun Instagram milik Ernie itu emt tampaknya sudah ditutup,28.0,24.0,56,Positif,7.0,0.9939,", milik, anak, pajak, istri, sampah, mewah, twitter, asuh, rafael"
13,"Polisi Sebut Ada Wanita Lain yang Sulut Amarah Mario hingga Tega Aniaya David, Ini Kronologinya - Tribunnews.com",2023-02-26,Kapolres Metro Jakarta Selatan Kombes Pol Ade Ary Syam Pihak kepolisian menyebutkan ada nama wanita lain yang menyampaikan cerita tentang AGH yang membuat Mario marah hingga menyiksa David TRIBUNNEWSCOM Pihak kepolisian menyebutkan bahwa ada nama wanita lain yang menyampaikan cerita tentang AGH yang membuat Mario Dandy Satriyo anak pejabat pajak marah hingga menyiksa Cristalino David Ozora Hal tersebut di sampaikan oleh Kapolres Metro Jakarta Kombes Ade Ary Syam Indradi saat jumpa pers kedua pada Jumat lalu Dikutip dari Tribunjakartacom Sebelumnya Ade menyampaikan bahwa AGH yang menceritakan perlakuan tidak baik David tersebut kepada pacarnya Mario Sehingga membuat Mario marah dan menganiaya David anak dari salah satu pengurus Pimpinan Pusat PP GP Ansor yang disebut juga sebagai mantan AGH Kemudian wanita lain yang disebut menyampaikan cerita kepada Mario tersebut diketahui berinisial APA Kronologinya adalah di awal atau sekitar bulan Januari tersangka MDS Mario mendapatkan informasi dari temannya yaitu saudari APA yang menyatakan bahwa saksi AGH sekitar tanggal Januari itu mendapatkan perlakuan yang tidak baik dari korban David ungkap Ade Selanjutnya Mario mengonfirmasi ke AGH kemudian menghubungi temannya yakni Shane Lukas Baca juga LBH Ansor Ajukan Permohonan Perlindungan untuk David dan Saksi ke LPSK Setelah anak AGH dikonfirmasi oleh tersangka MDS Mario akhirnya di tanggal Februari tersangka MDS menghubungi tersangka  Shane kemudian tersangka  bertanya kamu kenapa ujar Ade Ary Akhirnya tersangka MDS emosi kemudian tersangka  menjawab gua kalau jadi lu pukulin saja Itu parah Den imbuhnya Untuk diketahui Shane sudah ditetapkan sebagai tersangka oleh polisi pada Jumat lalu Shane disebut sebagai provokator sebenarnya karena pernyataannya yang menyulut kegeraman Mario Memberikan pendapat kepada tersangka MDS wah parah itu ya sudah hajar saja kata Ade Ary Saat penganiayaan terjadi Shane pada saat itu juga berada di lokasi kejadian Selain itu Shane juga disebut sebagai perekam video saat Mario menganiaya David,91.0,16.0,109,Negatif,4.0,0.9949,"mario, david, sangka, aniaya, dandy, shane, anak, korban, jakarta, ade"
14,"Ditolak Mentah-mentah, Syarat KKB Barter Lepaskan Pilot Susi Air, Dianggap Tak Masuk Akal - Tribun-medan.com",2023-02-26,TRIBUNMEDANcom KKB Papua pimpinan Egianus Kogoya sudah hari menyandera pilot Susi Air Kapten Philips Marthen warga negara Selandia Baru Egianus Kogoya yang merupakan pimpinan KKB Papua wilayah Nduga itu meminta tebusan kepada pemerintah untuk dibarter dengan Kapten Philips Marthen yang saat ini masih disandera Tebusan yang diminta KKB Papua tak mainmain Kalau bukan uang maka pemerintah diminta untuk memberikan senjata api dan amunisi kepadanya Tentang tebusan yang diminta KKB Papua itu diungkap oleh Kapolda Papua Irjen Pol Mathius  Fakhiri atas informasi dari tim negosiasi Mengutip Kompascom Fakhiri mengatakan tim negosiasi pembebasan pilot Susi Air sudah sempat menjalin komunikasi dengan Egianus Kogoya Ia menjelaskan Egianus Kogoya menyampaikan permintaan sebagai syarat untuk pembebasan Kapten Philips Memang benar Egianus ajukan sejumlah permintaan di antaranya senjata api dan amunisi yang akan ditukar dengan pilot asal Selandia Baru ujar Mathius di Mimika Kamis Permintaan Egianus Kogoya itu kata Fakhiri sulit untuk dipenuhi terutama terkait senjata api dan amunisi Fakhiri mengatakan tuntutan tidak mungkin disetujui karena justru akan memperburuk situasi Sudah pasti tidak akan dipenuhi permintaan tersebut Namun kami tahu psikis kelompok ini yang juga afiliasinya kepada kelompok politik yang suka memanfaatkan semua isu ini untuk politik mereka sendiri yang akan dijual ke luar kata dia Karena itu tim negosiasi akan berkomunikasi ulang dengan Egianus Kogoya agar Kapten Philips dapat segera dilepaskan dalam keadaan sehat Namun Fakhiri juga menyatakan bahwa aparat keamanan tidak bisa membiarkan situasi penyanderaan Kapten Philips berlarutlarut karena kasus ini sudah menjadi atensi dari dunia internasional Negosiasi yang sedang dilakukan aparat pemerintah dan tokohtokoh masyarakat ini kita kedepankan tetapi tentu aparat TNIPolri tidak akan berlamalama menunggu itu karena kita melihat kondisi dari pilot Susi Air yang sedang disandera kata dia Senada dengan Kapolda Papua Kepala Badan Nasional Penanggulangan Terorisme BNPT Komjen Pol Boy Rafli Amar menyebut permintaan KKB Papua sulit dipenuhi,57.0,1.0,58,Neutral,0.0,0.995,", tim, jakarta, khusus, semarang, main, presiden, psis, skema, dki"
15,"Cinta Mati Asib Ali, Sudah Jelas Lamarannya Ditolak, Masih Berharap: Nisa, Saya Tunggu Kamu - Tribun-medan.com",2023-02-26,Potret Syarifah Haerunnisa warga Desa Watangrumpia Kecamatan Majauleng Kabupaten Wajo Sulawesi Selatan yang menolak lamaran WNA asal India Asib Ali Bhore TRIBUNMEDANcom Kandasnya kisah asmara pria India yang jauhjauh datang ke Sulawesi Selatan semakin menarik perhatian publik Sebab selain lamarannya ditolak orang tua pacar ternyata pria India ini masih bersikukuh ingin menikah dengan wanita asal Sulawesi Selatan tersebut Tidak hanya itu pria India memberi pesan menyentuh yang menyebut bila gadis Sulawesi Selatan tersebut sebagai cinta matinya Sudah terlanjur cinta mati pria India yang ditolak lamarannya oleh gadis Wajo Sulawesi Selatan sampai tidak mau menikahi wanita lain Asib Ali Bhore pria asal India tampaknya tidak peduli dengan alasan keluarga gadis Sulawesi Selatan menolak mentahmetah dirinya Itu karena pria India ini terlanjur jatuh hati dengan wanita Sulawesi Selatan yang dikatakan sudah dijodohkan dengan pria lain Gadis cantik asal Sulawesi Selatan yang menolak lamaran pria India terkenal sebagai sosok yang pendiam Tribunnewscom Alhasil kisah cinta pria India ini semakin menarik simpatik publik karena sudah jauhjauh datang dari negaranya justru lamarannya mendapat penolakan Sudah terlanjur cinta mati pada perempuan Wajo Sulawesi Selatan lelaki India bernama Asib Ali Bhore tak mau menikahi perempuan lain Asib Ali Bhore menyebut hanya ingin menikahi pujaan hatinya asal Wajo dan akan bersabar menunggu Pasalnya seluruh hati Ali telah diberikan sepenuhnya pada perempuan yang pengisi hatinya Syarifah Khaerunnisa itulah nama perempuan pengisi hati Asib Ali Bhore yang tega menolak lamarannya Padahal ia telah jauhjauh terbang dari India ke Indonesia hanya untuk menikahi Nisa sapaan Syarifah Khaerunnisa Lamaran pria yang jauhjauh dari India ke kawasan Wajo Sulawesi Selatan tersebut ditolak mentahmentah Niat baik Ali untuk menikahi Nisa ditolak oleh pihak sang wanita,1.0,24.0,53,Negatif,2.0,0.9953,"india, lamar, selatan, tolak, ali, laku, sulawesi, korban, pria, wajo"
16,Kehadiran Taman Kuliner Bikin Jalan Mayor Kusmanto Klaten Kini Jadi Kawasan Kuliner - Tribunjogja.com,2023-02-26,TRIBUNJOGJACOM KLATEN Kehadiran Taman Kuliner yang dibangun Pemerintah Kabupaten Pemkab Klaten di Jalan Mayor Kusmanto Kecamatan Klaten Tengah membuat kawasan itu menjadi pusat kuliner di daerah itu Sebelum hadirnya Taman Kuliner di kawasan itu juga sudah banyak berdiri kafekafe yang menjual beragam kuliner tradisional hingga modern Alhamdulillah ya dari kerja keras kita bersama di tengah pandemi Covid kita bisa membangun Taman Kuliner di satu sisi kita fokus penanganan Covid ujar Bupati Klaten Sri Mulyani Minggu Ia menyebut Jalan Mayor Kusmanto merupakan kawasan yang cukup strategis dan masih berada di pusat Kota Klaten Jalan Mayor Kusmanto ini strategis masih di pusat kota dan kita harus punya kawasan kuliner dan itu di Jalan Mayor Kusmanto terbukti saat ini menjadi pusat kuliner dan banyak tumbuh kafekafe ungkapnya Sri Mulyani berharap semua kuliner yang ada di kawasan itu terus tumbuh dan berkembang sehingga mampu mengangkat perekonomian Klaten Semoga nanti semuanya terus tumbuh baik kuliner yang dijalankan pemerintah maupun yang dari pihak swasta Banyak pilihan warga untuk berkuliner saat berkunjung di sana ucapnya Ia menyebut Jalan Mayor Kusmanto nantinya juga akan menyambung dengan pintu exit tol JogjaSolo yang ada di Kelurahan Gergunung Ini kan juga nyambung dengan exit tol JogjaSolo kami juga ada wacana mengembangkan kuliner di Taman Gergunung itu dari kajian zonasi zona kuning dan kita sesuaikan dengan anggaran yang ada imbuhnya Kepala Dinas Koperasi Usaha Kecil Menengah dan Koperasi DKUKMP Klaten Anang Widjatmoko mengatakan sebanyak pedagang kaki lima PKL yang biasa berjualan di depan Masjid Raya Klaten direlokasi ke Taman Kuliner Adapun jumlah kios yang ada di Taman Kuliner itu sebanyak kios yang terbagi dalam dua area kios Area kios  terdapat kios dengan masingmasing berukuran meter  meter Sedangkan area kios yang memiliki dua lantai terdiri kios dengan ukuran masingmasing meter  meter Selain itu Juga terdapat delapan kios gerobak dengan masingmasing kios berukuran meter  meter,,,1,Positif,0.0,0.9951,", tim, jakarta, khusus, semarang, main, presiden, psis, skema, dki"
17,Wapres Ma'ruf Amin takziah ke kediaman mendiang Kiai Ali Yafie,2023-02-26,Jakarta ANTARA Wakil Presiden Maruf Amin melayat ke rumah duka mendiang Kiai Haji Ali Yafie di Komplek Menteng Residence Bintaro Jaya Tangerang Selatan MingguDidampingi istri Wury Maruf Amin Wapres tiba di lokasi takziah pada pukul WIB Pada kesempatan tersebut Wapres mengungkapkan rasa duka citanya kepada keluarga almarhum dan memimpin pembacaan tahlil serta doaSebagaimana siaran pers yang diterima di Jakarta Minggu Wapres memanjatkan doa kepada Allah SWT Kiai Ali Yafie mendapatkan tempat terbaik di sisiNyaMudahmudahan amal ibadahnya diterima oleh Allah subhanahu wa taala kesalahan dan kekurangan dimaafkan di tempat yang layak di sisiNya termasuk kita umat Islam ditinggalkan beliau juga sangat kehilangan kata WapresDalam keterangan persnya usai takziah Wapres mengenang sosok Kiai Ali Yafie sebagai seorang tokoh yang patut diteladani karena ilmunya“Beliau ini guru saya senior saya Bagi saya beliau itu seorang yang banyak ilmunya tidak hanya menyangkut keagamaan tapi juga kebangsaan” kenang WapresWapres menambahkan selain sangat berpegang pada ajaran agama Kiai Ali Yafie juga dikenal dengan kesantunannyaBeliau senantiasa memberikan bimbingannya dengan cara yang santun dan rasional yang sangat teguh berpegang pada ajaran agama tambah WapresWapres juga terkesan akan kepandaian Kiai Ali Yafie dalam menjalin komunikasi dengan berbagai unsur masyarakatBeliau bisa beRgaul dengan siapa saja dan mampu berkomunikasi dengan segala lapisan Orang baik dan patut diteladani dalam banyak hal ujar WapresSebelumnya Majelis Ulama Indonesia MUI mengabarkan kabar duka yaitu wafatnya Ketua Umum Majelis Ulama Indonesia MUI Prof KH Ali Yafie di usia tahun pada Sabtu malam pukul WIBMenurut keterangan dari laman resmi MUI yang dipantau di Jakarta Sabtu malam sosok yang juga pernah menjabat Rais Aam Pengurus Besar Nahdlatul Ulama itu meninggal dunia setelah menjalani perawatan di sebuah rumah sakit di Tangerang SelatanKiai Ali Yafie akan dimakamkan di TPU Tanah Kusir Blok AA Blad setelah sebelumnya disalatkan terlebih dahulu di Masjid Raya Bintaro dan Masjid AnNashr BintaroSebagaimana diberitakan sebelumnya Wapres Maruf Amin sempat menjenguk Kiai Ali Yafie yang tengah menjalani perawatan intensif di Rumah Sakit Premiere Bintaro pada Februari Pada kesempatan tersebut Wapres melihat kondisi Kiai Ali Yafie yang dapat merespons kehadirannya dengan senyuman yang hangatSebagai informasi Kiai Ali Yafie lahir di Kabupaten Donggala Sulawesi Tengah pada September Ia merupakan Ketua Umum Majelis Ulama Indonesia MUI periode Mendiang juga pernah menjabat sebagai Rais Aam Pengurus Besar Nahdlatul Ulama periode dan merupakan pengasuh Pondok Pesantren Darud Da’wah wal Irsyad ParePare Sulawesi Selatan Pewarta Rangga Pandu Asmara Jingga Editor Tasrief Tarmizi COPYRIGHT © ANTARA,,,1,Positif,7.0,0.9967,", milik, anak, pajak, istri, sampah, mewah, twitter, asuh, rafael"
18,"Richard Eliezer akan Dipindah ke Lapas Salemba Besok, Ayah Brigadir J Pasrah Bharada E tak Dipecat - Tribun-medan.com",2023-02-26,MINTA MAAF Terdakwa kasus pembunuhan Brigadir  Yosua Hutabarat Richard Eliezer menunjukkan gestur meminta maaf saat menjalani sidang di PN Jakarta Selatan Rabu Majelis hakim menjatuhkan vonis tahun bulan kepada Richard Eliezer dari sebelumnya tuntutan jaksa tahun TRIBUNMEDANcom Kejaksaan Agung menyebut Richard Eliezer akan dieksekusi atau dipindahkan ke lapas hari Senin besok Hal ini disampaikan oleh Kapuspenkum Kejaksaan Agung Ketut Sumedana kepada Kompas tv Kapuspenkum menyampaikan rencana pelaksanaan eksekusi pidana akan dilakukan pada Senin besok Richard Eliezer akan menjalani masa pidana di Lembaga Pemasyarakatan Salemba Jakarta Pusat Kapuspenkum Kejaksaan Agung Ketut Sumedana kepada Kompastv mengatakan hari Senin meski belum memastikan waktunya ke LP Salemba Sikap Ayah Brigadir  Usai Richard Eliezer Tak Dipecat dari Pasrah Berujung Kecewa Hasil sidang etik Polri yang memutuskan tidak memecat Richard Eliezer Pudihang Lumiu Bharada  setelah divonis tahun bulan penjara dalam kasus pembunuhan berencana Nofriansyah Yosua Hutabarat Brigadir  tidak bisa diterima semua kalangan Meski dipertahankan sebagai polisi sidang etik yang digelar pada Rabu kemarin memutuskan menjatuhkan sanksi etik profesi dan administrasi kepada Richard Dari sisi sanksi etik perbuatan Richard menembak Yosua atas perintah atasannya Ferdy Sambo dinyatakan sebagai perbuatan tercela Selain itu dia juga diharuskan membuat permintaan maaf secara tertulis Kemudian dari sisi administrasi komisi kode etik Polri memutuskan memberikan sanksi mutasi bersifat demosi kepada Richard selama tahun Mutasi dan demosi yang dimaksud adalah Richard selama setahun akan dipindahkan ke Divisi Pelayanan Markas Yanma Mabes Polri dan ditugaskan sebagai staf Sebelumnya Richard adalah tamtama anggota Korps Brigade Mobil Brimob Polri Sanksi mutasi bersifat demosi itu mulai berlaku sejak putusan sidang etik dibacakan Saat ini Richard tinggal menanti eksekusi untuk menjalani masa hukuman oleh jaksa penuntut umum JPU dan akan dipindahkan dari rumah tahanan negara ke lembaga pemasyarakatan Harapan supaya Richard tidak dipecat dari keanggotaan Polri disampaikan oleh kuasa hukumnya Ronny Talapessy,107.0,29.0,140,Neutral,7.0,0.7166,", milik, anak, pajak, istri, sampah, mewah, twitter, asuh, rafael"
19,Presiden Joko Widodo hadiri Rakornas PAN,2023-02-26,Presiden Joko WIdodo kiri bersama Ketua Umum Partai Amanat Nasional PAN Zulkifli Hasan kanan melambaikan tangan ke arah peserta seusai membuka Rapat Koordinasi Nasional Rakornas PAN di Semarang Jawa Tengah Minggu Rakornas PAN yang digelar Pebruari itu dihadiri sekitar peserta beragendakan sejumlah lokakarya workshop politik serta konsolidasi persiapan partai dalam menghadapi Pemilu serta rencana dukungan kepada sejumlah kandidat bakal capres dan cawapres yang diusung PAN pada Pilpres ANTARA FOTOAji Styawannym,,,1,Neutral,2.0,0.6672,"india, lamar, selatan, tolak, ali, laku, sulawesi, korban, pria, wajo"
20,"Sehari Dibuat, Puluhan Ribu Netizen Follow Instagram Asib Ali, Pemuda India Ini Makin Terkenal - Serambinews.com",2023-02-26,Sehari dibuat akun Instagram Asib Ali pemuda asal India ditolak calon mertua beberapa waktu lalu kini diikuti follow puluhan ribu netizen SERAMBINEWSCOM Sehari dibuat akun Instagram Asib Ali yang merupakan pemuda asal India ditolak calon mertua beberapa waktu lalu kini diikuti follow puluhan ribu netizen Diketahui pemuda India bernama lengkap Asib Ali Bhore ini tidak punya media sosial saat tiba di Indonesia kecuali WhatsApp semata Meski demikian usai diselamatkan influencer bernama Akash Ellahi nasib Ali berubah dan kini makin terkenal termasuk di TikTok dan Instagram Terbaru Akash telah membuatkan akun Instagram aasib untuk Asib Ali yang dilihat Serambinewscom per Minggu sudah diikuti ribu followers walau baru sehari dibuat Dalam unggahan pertamanya akun tersebut sudah memposting dua foto baik itu bersama bayi sulung Akash dan aktor film kolosal Afdhal Yusman Baca juga Ditanya Kenapa Percaya Syarifah hingga Datang ke Indonesia Ini Kata Pria India Ditolak Calon Mertua Unggahan pertama dari Instagram aasib sudah disukai ribu dan dikomentari netizen Sementara unggahan kedua sudah disukai ribu dan dikomentari warganet di jagat maya Masya Allah Terima kasih ya buat bang Akash sudah mau bantuin abang Ali sehat selalu buat kalian orangorang baik komen salah seorang netizen di unggahan tersebut Baca juga Sedih Bila Bahas Uang Transferan Asib Ali Pemuda India yang Ditolak Calon Mertua Ungkap Alasannya Bang Asib saya siap nikah Sama saya saja ya tulis warganet lainnya di kolom komentar Dibuat Sehari Akun TikTok Asib Ali Diserbu Netizen Makin Terkenal Sementara sebelumnya akun TikTok Asib diserbu netizen walau baru sehari dibuat pemuda India yang ditolak calon mertua itu kini semakin terkenal dan punya ratusan ribu followers Baca juga Terkatungkatung Hari di Bandara tanpa Makan Begini Nasib Pemuda India yang Ditolak Calon Mertua Adalah Asib Ali Bhore pemuda India yang rela datang jauhjauh ke Indonesia namun ditolak calon mertua,41.0,10.0,52,Negatif,9.0,0.9956,"india, gempa, jakarta, baca, ali, asib, indonesia, tolak, kali, pemuda"
21,Medvedev kalahkan Murray untuk rebut gelar Qatar Open,2023-02-26,Baca juga Rentetan kemenangan Sabalenka terhenti di Dubai Baca juga Kompetisi tenis Pigeon Teens WTA diselenggarakan sepanjang tahun Jakarta ANTARA Daniil Medvedev mempertahankan performa terbaiknya di bulan ini untuk menjuarai Qatar Open di mana unggulan ketiga itu menang atas Andy Murray untuk merebut gelar turnamen di Doha Sabtu waktu setempatDalam pertarungan antara dua mantan petenis nomor satu dunia itu Medvedev memulai dengan cepat di kedua set untuk meraih kemenangan dalam waktu satu jam menit dengan lebih dulu memimpin pada set pertama dan unggul pada set keduaMurray yang memenangi empat pertandingan sebelumnya di Doha pekan ini dalam tiga set merebut kembali break di setiap set tetapi Medvedev kembali menggagalkan upaya petenis berusia tahun itu untuk merebut gelar level tur kenyaItu pertandingan yang sulit kata Medvedev dikutip dari laman resmi ATP MingguHari ini sedikit berangin jadi kami berdua berjuang untuk menemukan ritme kami Hari ini adalah pertarungan besar bagi kami berdua Terkadang kami bermain buruk lalu tibatiba kami berdua bermain luar biasa dan saya senang bisa menangSetelah juga menang di Rotterdam pekan lalu Medvedev menjadi petenis pertama yang meraih gelar tunggal berturutturut pada musim ATP Tour Petenis berusia tahun itu akan melewati Rafael Nadal di peringkat tujuh ATP Senin sebagai hasil dari kemenangannya di DohaSaya berhasil menemukan momentum di Rotterdam ujar Medvedev ketika ditanya tentang penampilannya barubaru iniDua pertandingan pertama yang saya mainkan di sana sangat sulit Saya tidak merasa baik sebelum turnamen itu dan kemudian mulai di perempat final melawan Felix AugerAliassime saya mulai menemukan ritme sayaSaya mulai bermain dengan sangat baik Servis lebih baik bergerak lebih baik Hari ini sulit bagi Andy untuk berkalikali memasukkan bola ke saya dan sekarang pertanyaannya adalah apakah itu dapat berlanjut Saya akan mencoba selama saya bisaMeskipun gagal memenangi gelar ATP Tour pertamanya sejak Murray naik peringkat ke peringkat di peringkat ATP berkat rangkaian kemenangannya di DohaPetenis Inggris itu akan berusaha membangun performanya pada pekan depan ketika dia dan Medvedev samasama bergabung di ajang ATP di DubaiPekan yang luar biasa kata Murray yang mencatatkan rekor final kelimanya di DohaJelas itu tidak selesai seperti yang saya inginkan tetapi saya memiliki beberapa pertandingan yang luar biasa di sini menciptakan beberapa kenangan indah Sungguh luar biasa bisa kembali ke final di sini lagi dan melawan pemain luar biasa hari iniDaniil adalah salah satu pemain favorit saya untuk ditonton dan salah satu pemain terbaik di tur Sangat bagus bagi saya untuk mendapatkan kesempatan untuk bermain melawan seseorang dari levelnya di final lagiPasti ada beberapa hal untuk dikerjakan tetapi saya bangga dengan pekan saya dan pekerjaan yang telah saya dan tim saya lakukan untuk membawa saya kembali ke tahap ini imbuhnya Pewarta Arindra Meodia Editor Aditya Eko Sigit Wicaksono COPYRIGHT © ANTARA,,,0,Positif,1.0,0.9961,"sehat, bpjs, jaksa, agung, bakti, menang, kominfo, jakarta, menteri, main"
22,Pelatih apresiasi perjuangan pebalap muda Indonesia di kejuaraan dunia,2023-02-26,Baca juga Pebalap benua Eropa kuasai emas di hari ketiga UCI Track Nations Cup Baca juga Terry maksimalkan upaya di nomor madison dan rebut poin Olimpiade Jakarta ANTARA Kepala Pelatih Tim Balap Sepeda Indonesia Dadang Haries Poernomo mengapresiasi perjuangan para pebalap sepeda muda nasional yang mengikuti ajang kejuaraan dunia UCI Track Nations Cup di Jakarta International Velodrome FebruariBagi Dadang keikutsertaan para pebalap muda Indonesia di kompetisi bergengsi itu diharapkan dapat memberikan pelajaran pengalaman serta menambah jam terbang merekaSalah satunya ia menyoroti wakil Indonesia di nomor sprint putri yakni Wiji Lestari dan Ratu Afifah Nur Indah yang masih belum berhasil lolos kualifikasi Namun Dadang menilai pencapaian mereka sudah tergolong baik terlepas dari minimnya pengembangan talenta dan pengalamannyaSekali lagi memang untuk mereka lagi development ya dan memang hasil belum bisa maksimal mereka masih banyak melakukan kesalahan kata Dadang saat ditemui pada Sabtu malamIni salah satunya karena kurang pengalamannya kurang banyak bertanding ya bagi mereka Tapi its okay imbuhnyaLebih lanjut Dadang mengatakan perjalanan kedua pebalap sepeda putri itu masih panjang sehingga tak perlu berkecil hatiDalam babak kualifikasi sprint putri kemarin Wiji terpaut detik sementara Ratu terpaut detik dari pemimpin kualifikasi yakni Mathilde Gros dari Prancis dengan torehan waktu Waktu mereka finis bagi saya masih sesuai standar sesuai kemampuan dia ada di kisaran detik ya walaupun mili second nya menang agak sedikit menyentuh atau mendekati detik kata DadangTapi saya melihat memang banyak harus perubahan di situ seperti pola teknik pola pengambilan line dan lain sebagainya Di sini mereka perlu banyak belajar ujarnya menambahkanSementara itu UCI Track Nations Cup di Jakarta masih akan bergulir hingga Minggu malam Terdapat empat wakil Indonesia yang akan berkompetisi hari ini yaitu Dika Alif Dhentaka di nomor sprint putra Ayustina Priatna Delia untuk nomor omnium putri serta Bernard Benyamin Van Aert dan Terry Yudha Kusuma di nomor madison putra Pewarta Arnidhya Nur Zhafira Editor Aditya Eko Sigit Wicaksono COPYRIGHT © ANTARA,,,0,Positif,1.0,0.9956,"sehat, bpjs, jaksa, agung, bakti, menang, kominfo, jakarta, menteri, main"
